   99  2.0530E-02  8.297E+00 1.305E-02 8.310E+00 1.453E-03 8.212E-04  7.575E-02 5.218E-03 1.573E-03 1.989E-04 2.580E-06
   98  2.2388E-02  7.795E+00 1.321E-02 7.808E+00 1.684E-03 8.885E-04  8.218E-02 5.323E-03 1.694E-03 2.308E-04 3.031E-06
   97  2.4414E-02  7.323E+00 1.335E-02 7.336E+00 1.952E-03 9.605E-04  8.912E-02 5.438E-03 1.824E-03 2.679E-04 3.558E-06
   96  2.6624E-02  6.880E+00 1.349E-02 6.894E+00 2.263E-03 1.038E-03  9.659E-02 5.566E-03 1.961E-03 3.109E-04 4.174E-06
   95  2.9033E-02  6.466E+00 1.362E-02 6.479E+00 2.623E-03 1.120E-03  1.046E-01 5.707E-03 2.107E-03 3.608E-04 4.892E-06
   94  3.1661E-02  6.077E+00 1.375E-02 6.091E+00 3.042E-03 1.208E-03  1.133E-01 5.863E-03 2.262E-03 4.186E-04 5.729E-06
   93  3.4527E-02  5.713E+00 1.387E-02 5.727E+00 3.528E-03 1.302E-03  1.226E-01 6.037E-03 2.428E-03 4.855E-04 6.705E-06
   92  3.7652E-02  5.373E+00 1.399E-02 5.387E+00 4.090E-03 1.402E-03  1.325E-01 6.229E-03 2.604E-03 5.630E-04 7.842E-06
   91  4.1059E-02  5.055E+00 1.411E-02 5.069E+00 4.743E-03 1.509E-03  1.432E-01 6.442E-03 2.791E-03 6.525E-04 9.168E-06
   90  4.4776E-02  4.758E+00 1.422E-02 4.772E+00 5.499E-03 1.623E-03  1.546E-01 6.679E-03 2.990E-03 7.561E-04 1.071E-05
   89  4.8828E-02  4.480E+00 1.434E-02 4.495E+00 6.375E-03 1.744E-03  1.668E-01 6.943E-03 3.201E-03 8.756E-04 1.251E-05
   88  5.3247E-02  4.221E+00 1.445E-02 4.236E+00 7.388E-03 1.874E-03  1.798E-01 7.235E-03 3.424E-03 1.013E-03 1.459E-05
   87  5.8067E-02  3.980E+00 1.456E-02 3.994E+00 8.561E-03 2.011E-03  1.937E-01 7.560E-03 3.659E-03 1.172E-03 1.701E-05
   86  6.3322E-02  3.755E+00 1.468E-02 3.770E+00 9.916E-03 2.157E-03  2.084E-01 7.920E-03 3.910E-03 1.355E-03 1.982E-05
   85  6.9053E-02  3.546E+00 1.480E-02 3.560E+00 1.148E-02 2.312E-03  2.239E-01 8.319E-03 4.175E-03 1.565E-03 2.308E-05
   84  7.5303E-02  3.351E+00 1.493E-02 3.366E+00 1.329E-02 2.477E-03  2.404E-01 8.759E-03 4.455E-03 1.807E-03 2.686E-05
   83  8.2119E-02  3.170E+00 1.506E-02 3.185E+00 1.537E-02 2.652E-03  2.577E-01 9.243E-03 4.751E-03 2.083E-03 3.123E-05
   82  8.9551E-02  3.001E+00 1.519E-02 3.016E+00 1.777E-02 2.837E-03  2.760E-01 9.773E-03 5.062E-03 2.399E-03 3.630E-05
   81  9.7656E-02  2.845E+00 1.534E-02 2.860E+00 2.053E-02 3.033E-03  2.951E-01 1.035E-02 5.391E-03 2.761E-03 4.215E-05
   80  1.0649E-01  2.700E+00 1.550E-02 2.716E+00 2.370E-02 3.241E-03  3.152E-01 1.097E-02 5.739E-03 3.173E-03 4.892E-05
   79  1.1613E-01  2.566E+00 1.567E-02 2.582E+00 2.735E-02 3.461E-03  3.361E-01 1.164E-02 6.108E-03 3.642E-03 5.677E-05
   78  1.2664E-01  2.442E+00 1.587E-02 2.458E+00 3.152E-02 3.693E-03  3.578E-01 1.235E-02 6.498E-03 4.175E-03 6.585E-05
   77  1.3811E-01  2.327E+00 1.608E-02 2.343E+00 3.630E-02 3.940E-03  3.803E-01 1.310E-02 6.910E-03 4.779E-03 7.634E-05
   76  1.5061E-01  2.221E+00 1.631E-02 2.238E+00 4.176E-02 4.200E-03  4.035E-01 1.388E-02 7.344E-03 5.462E-03 8.847E-05
   75  1.6424E-01  2.124E+00 1.657E-02 2.140E+00 4.800E-02 4.475E-03  4.273E-01 1.470E-02 7.801E-03 6.232E-03 1.025E-04
   74  1.7910E-01  2.034E+00 1.685E-02 2.051E+00 5.509E-02 4.766E-03  4.517E-01 1.554E-02 8.284E-03 7.099E-03 1.186E-04
   73  1.9531E-01  1.951E+00 1.716E-02 1.969E+00 6.317E-02 5.073E-03  4.766E-01 1.642E-02 8.796E-03 8.072E-03 1.373E-04
   72  2.1299E-01  1.876E+00 1.752E-02 1.893E+00 7.233E-02 5.398E-03  5.018E-01 1.733E-02 9.341E-03 9.161E-03 1.589E-04
   71  2.3227E-01  1.807E+00 1.793E-02 1.825E+00 8.270E-02 5.742E-03  5.273E-01 1.827E-02 9.924E-03 1.038E-02 1.839E-04
   70  2.5329E-01  1.744E+00 1.839E-02 1.762E+00 9.444E-02 6.107E-03  5.530E-01 1.925E-02 1.055E-02 1.173E-02 2.130E-04
   69  2.7621E-01  1.686E+00 1.891E-02 1.705E+00 1.077E-01 6.493E-03  5.786E-01 2.027E-02 1.122E-02 1.323E-02 2.468E-04
   68  3.0121E-01  1.634E+00 1.950E-02 1.654E+00 1.226E-01 6.904E-03  6.042E-01 2.135E-02 1.193E-02 1.490E-02 2.861E-04
   67  3.2848E-01  1.587E+00 2.017E-02 1.607E+00 1.393E-01 7.341E-03  6.295E-01 2.248E-02 1.271E-02 1.673E-02 3.318E-04
   66  3.5820E-01  1.545E+00 2.092E-02 1.566E+00 1.580E-01 7.807E-03  6.544E-01 2.368E-02 1.354E-02 1.875E-02 3.851E-04
   65  3.9062E-01  1.507E+00 2.176E-02 1.528E+00 1.790E-01 8.304E-03  6.788E-01 2.495E-02 1.444E-02 2.097E-02 4.474E-04
   64  4.2598E-01  1.473E+00 2.271E-02 1.495E+00 2.024E-01 8.836E-03  7.026E-01 2.631E-02 1.542E-02 2.339E-02 5.202E-04
   63  4.6453E-01  1.443E+00 2.378E-02 1.466E+00 2.284E-01 9.406E-03  7.256E-01 2.775E-02 1.648E-02 2.604E-02 6.054E-04
   62  5.0658E-01  1.416E+00 2.498E-02 1.441E+00 2.574E-01 1.002E-02  7.478E-01 2.930E-02 1.764E-02 2.893E-02 7.054E-04
   61  5.5243E-01  1.393E+00 2.634E-02 1.419E+00 2.894E-01 1.068E-02  7.691E-01 3.096E-02 1.891E-02 3.207E-02 8.228E-04
   60  6.0243E-01  1.373E+00 2.786E-02 1.401E+00 3.249E-01 1.139E-02  7.894E-01 3.273E-02 2.029E-02 3.547E-02 9.610E-04
   59  6.5695E-01  1.356E+00 2.957E-02 1.386E+00 3.641E-01 1.215E-02  8.086E-01 3.463E-02 2.181E-02 3.914E-02 1.124E-03
   58  7.1641E-01  1.342E+00 3.150E-02 1.373E+00 4.072E-01 1.298E-02  8.267E-01 3.666E-02 2.348E-02 4.311E-02 1.316E-03
   57  7.8125E-01  1.330E+00 3.367E-02 1.364E+00 4.546E-01 1.388E-02  8.436E-01 3.884E-02 2.532E-02 4.739E-02 1.544E-03
   56  8.5196E-01  1.320E+00 3.611E-02 1.357E+00 5.066E-01 1.486E-02  8.594E-01 4.117E-02 2.735E-02 5.200E-02 1.814E-03
   55  9.2907E-01  1.313E+00 3.885E-02 1.352E+00 5.635E-01 1.592E-02  8.741E-01 4.367E-02 2.959E-02 5.695E-02 2.134E-03
   54  1.0132E+00  1.308E+00 4.193E-02 1.350E+00 6.258E-01 1.708E-02  8.876E-01 4.634E-02 3.206E-02 6.226E-02 2.514E-03
   53  1.1049E+00  1.304E+00 4.537E-02 1.350E+00 6.937E-01 1.835E-02  9.000E-01 4.919E-02 3.479E-02 6.795E-02 2.966E-03
   52  1.2049E+00  1.302E+00 4.923E-02 1.352E+00 7.678E-01 1.973E-02  9.113E-01 5.223E-02 3.780E-02 7.405E-02 3.502E-03
   51  1.3139E+00  1.302E+00 5.354E-02 1.355E+00 8.483E-01 2.124E-02  9.216E-01 5.547E-02 4.113E-02 8.058E-02 4.140E-03
   50  1.4328E+00  1.303E+00 5.836E-02 1.361E+00 9.359E-01 2.290E-02  9.309E-01 5.892E-02 4.480E-02 8.756E-02 4.898E-03
   49  1.5625E+00  1.305E+00 6.375E-02 1.369E+00 1.031E+00 2.471E-02  9.393E-01 6.259E-02 4.885E-02 9.501E-02 5.800E-03
   48  1.7039E+00  1.308E+00 6.976E-02 1.378E+00 1.134E+00 2.669E-02  9.468E-01 6.648E-02 5.332E-02 1.030E-01 6.872E-03
   47  1.8581E+00  1.313E+00 7.646E-02 1.389E+00 1.245E+00 2.886E-02  9.535E-01 7.059E-02 5.825E-02 1.115E-01 8.148E-03
   46  2.0263E+00  1.318E+00 8.394E-02 1.402E+00 1.366E+00 3.124E-02  9.594E-01 7.493E-02 6.370E-02 1.205E-01 9.664E-03
   45  2.2097E+00  1.324E+00 9.226E-02 1.416E+00 1.496E+00 3.383E-02  9.647E-01 7.949E-02 6.970E-02 1.302E-01 1.147E-02
   44  2.4097E+00  1.330E+00 1.015E-01 1.432E+00 1.637E+00 3.667E-02  9.694E-01 8.428E-02 7.632E-02 1.405E-01 1.361E-02
   43  2.6278E+00  1.337E+00 1.118E-01 1.449E+00 1.788E+00 3.977E-02  9.735E-01 8.929E-02 8.361E-02 1.514E-01 1.615E-02
   42  2.8656E+00  1.345E+00 1.233E-01 1.468E+00 1.951E+00 4.316E-02  9.771E-01 9.452E-02 9.165E-02 1.630E-01 1.916E-02
   41  3.1250E+00  1.353E+00 1.360E-01 1.489E+00 2.126E+00 4.685E-02  9.802E-01 9.996E-02 1.005E-01 1.754E-01 2.273E-02
   40  3.4078E+00  1.362E+00 1.501E-01 1.512E+00 2.315E+00 5.087E-02  9.830E-01 1.056E-01 1.102E-01 1.885E-01 2.695E-02
   39  3.7163E+00  1.371E+00 1.657E-01 1.536E+00 2.517E+00 5.525E-02  9.854E-01 1.114E-01 1.209E-01 2.024E-01 3.195E-02
